Season,First_spinner_won,Second_spinner_won,Third_spinner_won
29,92,115,121
30,93,133,124
31,103,129,118
32,106,114,130
33,119,106,125
34,109,113,128
35,99,116,135
36,115,136,129
37,104,128,150
38,117,131,132
39,123,126,131
40,116,143,123
41,119,123,136
42,117,127,136
43,113,115,152
44,112,114,154
45,123,138,119
46,114,128,138
